,name,company,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
44,Maruti Swift Dzire VXi AT,Maruti,2018,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,675000.0
45,Maruti Vitara Brezza VDi,Maruti,2018,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,819999.0
46,Maruti Alto K10 VXI,Maruti,2018,10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,390000.0
47,Toyota Fortuner 4x4 MT,Toyota,2014,77000.0,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,1500000.0
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2013,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,700000.0
49,Mercedes-Benz B Class B180,Mercedes-Benz,2014,27800.0,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,1450000.0
50,Honda Amaze S Diesel,Honda,2015,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,425000.0
51,Mitsubishi Pajero Sport 4X4,Mitsubishi,2013,151000.0,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,1090000.0
52,Honda City i DTEC S,Honda,2015,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,600000.0
53,Maruti Ciaz Zeta,Maruti,2018,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,850000.0
54,Honda Jazz VX Diesel,Honda,2015,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,525000.0
55,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,127700.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,1650000.0
56,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2016,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,950000.0
57,Audi A6 2.0 TDI Technology,Audi,2013,33900.0,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,1750000.0
58,Toyota Corolla Altis 1.8 VL CVT,Toyota,2018,25000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,1590000.0
59,Audi A6 2.0 TDI  Design Edition,Audi,2013,50000.0,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,1689999.0
60,Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,59000.0,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,1425000.0
61,Tata Manza ELAN Quadrajet BS IV,Tata,2011,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,265000.0
62,Hyundai i10 Magna,Hyundai,2011,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,190000.0
63,Hyundai i20 Asta 1.4 CRDi,Hyundai,2013,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,425000.0
64,Maruti Swift Dzire ZDI,Maruti,2015,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,630000.0
65,Ford Figo 1.2P Titanium MT,Ford,2017,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,600000.0
66,Maruti Baleno Delta 1.2,Maruti,2019,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,650000.0
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,2016,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,540000.0
68,Honda City i DTEC VX,Honda,2015,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,630000.0
69,Maruti Wagon R AMT VXI,Maruti,2018,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,448000.0
70,Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,2017,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,500000.0
71,Maruti Vitara Brezza VDi,Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,745000.0
72,Maruti Vitara Brezza ZDi Plus AMT,Maruti,2019,9850.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,1025000.0
73,Hyundai i10 Magna,Hyundai,2011,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,235000.0
74,Maruti Swift VDI Deca,Maruti,2016,70000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,630000.0
75,Toyota Fortuner 4x4 MT,Toyota,2015,78000.0,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,1700000.0
76,Maruti Swift Star VDI,Maruti,2013,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,450000.0
77,Maruti Ertiga ZXI,Maruti,2012,120000.0,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,450000.0
78,Tata Indica DLS,Tata,2003,70000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,50000.0
79,Volkswagen Vento Diesel Highline,Volkswagen,2013,170000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,450000.0
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2016,140000.0,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,1200000.0
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,2015,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,610000.0
82,BMW X1 sDrive20i xLine,BMW,2016,30000.0,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,2500000.0
83,Maruti Celerio ZXI MT BSIV,Maruti,2017,10000.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,484999.0
84,Datsun GO A Petrol,Datsun,2016,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,275000.0
85,Maruti Alto 800 VXI BSIV,Maruti,2016,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,315000.0
86,Maruti Alto 800 LXI BSIV,Maruti,2016,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,275000.0
87,Maruti Swift VDI BSIV W ABS,Maruti,2015,78000.0,Diesel,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,475000.0
88,Hyundai i10 Era 1.1,Hyundai,2012,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,290000.0
89,Maruti Omni 8 Seater BSIV,Maruti,2017,32000.0,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,280000.0
90,Maruti Wagon R LXI LPG BSIV,Maruti,2010,44000.0,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,225000.0
91,Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,2015,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,455000.0
92,Hyundai i10 Magna 1.1L,Hyundai,2015,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,351000.0
93,Volkswagen Vento Petrol Highline,Volkswagen,2012,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,535000.0
94,Maruti Zen Estilo LXI BSIII,Maruti,2009,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,175000.0
95,Hyundai i20 Asta Optional with Sunroof 1.2,Hyundai,2013,61500.0,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,525000.0
96,Maruti Swift Dzire LDI,Maruti,2016,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,600000.0
97,Hyundai Xcent 1.2 Kappa SX Option AT,Hyundai,2016,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,565000.0
98,Maruti Alto LX BSIII,Maruti,2008,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,120000.0
99,Hyundai i20 1.4 Asta Option,Hyundai,2017,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,725000.0
100,Maruti Wagon R VXI,Maruti,2009,77000.0,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,185000.0
101,Tata Manza Aura (ABS) Quadrajet,Tata,2010,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,200000.0
102,Maruti Swift VXI,Maruti,2019,10000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,615000.0
103,Maruti Eeco 7 Seater Standard BSIV,Maruti,2016,100000.0,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,270000.0
104,Maruti Baleno Zeta 1.2,Maruti,2018,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,610000.0
105,Mahindra Scorpio VLX AT AIRBAG BSIV,Mahindra,2014,70000.0,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,625000.0
106,Ford Freestyle Titanium Petrol BSIV,Ford,2020,5000.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,400000.0
107,Hyundai Verna VTVT 1.6 SX,Hyundai,2017,37800.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,866000.0
108,Volkswagen Passat 1.8 TSI MT,Volkswagen,2010,114000.0,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,700000.0
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,2010,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,300000.0
110,Mahindra XUV500 W11 Option AWD,Mahindra,2019,32000.0,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,1700000.0
111,Tata Indigo CS LS (TDI) BS-III,Tata,2016,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,375000.0
112,Hyundai Verna 1.6 SX,Hyundai,2013,150000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,522000.0
113,Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,451999.0
114,Toyota Corolla Altis G,Toyota,2009,100000.0,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,300000.0
115,Maruti Celerio VXI,Maruti,2020,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,475000.0
116,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,60000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,780000.0
117,Maruti Swift Dzire VXI,Maruti,2017,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,595000.0
118,Maruti Wagon R VXI BS IV,Maruti,2017,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,440000.0
119,Maruti Swift VDI BSIV,Maruti,2010,120000.0,Diesel,Individual,Manual,Second Owner,20.45,1461.0,83.8,5.0,300000.0
120,Nissan Terrano XL 85 PS,Nissan,2014,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,400000.0
121,Hyundai Creta 1.6 CRDi SX,Hyundai,2016,50000.0,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,1140000.0
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,2017,76139.0,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,850000.0
123,Maruti Swift Dzire VDi,Maruti,2012,175000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,370000.0
124,Renault KWID 1.0,Renault,2018,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,350000.0
125,Maruti Celerio VXI,Maruti,2015,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,360000.0
126,Maruti Alto LXi,Maruti,2008,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,105000.0
127,Maruti Ertiga VDI,Maruti,2013,90000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,625000.0
128,Hyundai Santro Xing GLS,Hyundai,2009,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,135000.0
129,Maruti Ertiga VDI,Maruti,2015,110000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,700000.0
130,Honda Amaze S i-VTEC,Honda,2019,1303.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,690000.0
131,Audi Q5 35TDI Premium Plus,Audi,2018,31800.0,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,3975000.0
132,Lexus ES 300h,Lexus,2019,20000.0,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,5150000.0
133,Jaguar XF 2.0 Diesel Portfolio,Jaguar,2017,45000.0,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,3200000.0
134,Jeep Wrangler 2016-2019 3.6 4X4,Jeep,2017,17000.0,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,4100000.0
135,Land Rover Discovery Sport TD4 SE,Land,2019,21000.0,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,4500000.0
136,Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2017,37000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,6000000.0
137,BMW 5 Series 520d Sport Line,BMW,2018,29500.0,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,3790000.0
138,BMW X1 sDrive 20D xLine,BMW,2017,27000.0,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,2150000.0
139,BMW X4 M Sport X xDrive20d,BMW,2019,7500.0,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,5800000.0
140,Skoda Superb LK 1.8 TSI AT,Skoda,2018,50000.0,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,1864999.0
141,Mercedes-Benz E-Class E250 Edition E,Mercedes-Benz,2016,35000.0,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,2700000.0
142,MG Hector Sharp AT BSIV,MG,2019,19000.0,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,1750000.0
143,Honda City i-VTEC CVT VX,Honda,2017,41000.0,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,795000.0
144,Toyota Corolla Altis 1.8 G CVT,Toyota,2013,39000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,625000.0
145,Volvo XC40 D4 R-Design,Volvo,2018,22000.0,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,3400000.0
146,Audi Q7 35 TDI Quattro Premium,Audi,2015,53000.0,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,2650000.0
147,Maruti Ciaz ZDi,Maruti,2015,40000.0,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,535000.0
148,Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2017,47000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,5850000.0
149,BMW 5 Series 523i,BMW,2010,72200.0,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,975000.0
150,Hyundai Elantra S,Hyundai,2016,49900.0,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,805000.0
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,9000.0,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,2625000.0
152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Tata,2018,11000.0,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,811000.0
153,Volkswagen Vento Petrol Highline,Volkswagen,2011,49000.0,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,375000.0
154,Hyundai Elantra SX,Hyundai,2012,95000.0,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,550000.0
155,Skoda Rapid 1.6 MPI AT Elegance,Skoda,2016,11000.0,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,645000.0
156,Mercedes-Benz CLA 200 CGI Sport,Mercedes-Benz,2018,18000.0,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,2550000.0
157,Maruti Ertiga ZXI,Maruti,2014,46100.0,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,599000.0
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,Mercedes-Benz,2017,16000.0,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,2700000.0
159,Honda City V AT,Honda,2017,18000.0,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,875000.0
160,Toyota Glanza V CVT,Toyota,2019,9654.0,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,894999.0
161,Maruti Alto K10 VXI,Maruti,2011,11000.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,175000.0
162,Maruti Swift VXI,Maruti,2012,24300.0,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,340000.0
163,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,42163.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,1525000.0
164,Tata Nexon 1.5 Revotorq XZA Plus DualTone,Tata,2018,8000.0,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,1025000.0
165,BMW 3 Series 320d Luxury Line,BMW,2016,30000.0,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,2150000.0
166,Toyota Camry 2.5 Hybrid,Toyota,2016,41000.0,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,1900000.0
167,BMW 5 Series 520d Luxury Line,BMW,2016,12000.0,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,2900000.0
168,Toyota Camry W4 (AT),Toyota,2009,71000.0,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,450000.0
169,Maruti Ertiga BSIV ZXI Plus,Maruti,2016,20000.0,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,850000.0
170,Volvo XC90 T8 Excellence BSIV,Volvo,2017,30000.0,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,10000000.0
171,Volkswagen Vento Diesel Highline,Volkswagen,2011,100000.0,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,300000.0
172,Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,2018,9500.0,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,575000.0
173,Ford Figo Diesel LXI,Ford,2011,120000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160000.0
174,Maruti Swift VXI Optional,Maruti,2015,36600.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,515000.0
175,Maruti Wagon R AMT VXI,Maruti,2015,50000.0,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,390000.0
176,Hyundai i20 Magna 1.2,Hyundai,2016,14000.0,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,550000.0
177,Maruti 800 Std,Maruti,1999,40000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,40000.0
178,Maruti Ritz VDi,Maruti,2010,120000.0,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,220000.0
179,Hyundai Grand i10 Magna,Hyundai,2015,70000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,425000.0
180,Volkswagen Ameo 1.0 MPI Trendline,Volkswagen,2019,13000.0,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,480000.0
181,Hyundai Grand i10 Sportz,Hyundai,2014,60000.0,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,400000.0
182,Maruti Swift Dzire VXI,Maruti,2014,35000.0,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,487000.0
183,Hyundai Xcent 1.2 Kappa S,Hyundai,2016,44000.0,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,386000.0
184,Honda City 1.5 EXI,Honda,2005,120000.0,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,100000.0
185,Toyota Corolla Altis Diesel D4DG,Toyota,2010,60000.0,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,300000.0
186,Daewoo Matiz SD,Daewoo,2000,60000.0,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,100000.0
187,Toyota Fortuner 4x2 Manual,Toyota,2014,30000.0,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,1750000.0
